party_id,party_short,party_name,issue_id,issue_title,issue_text,position,position_reason,position_score,connection_dimension,connection_dimension_label_refined,connection_relevance,issue_alignment_direction,connection_alignment_score
4,FDP,Freie Demokratische Partei,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,"Wir wollen die erneuerbaren Energien marktwirtschaftlich stärken. Da auf diese bereits mehr als 60 Prozent der Stromproduktion entfallen, sind die EEG-Subventionen für neue Anlagen nicht mehr gerechtfertigt. Eine Vergütung am Markt gewährleistet, dass Photovoltaik- und Windkraftanlagen nur bei genügend Netz- und Speicherkapazitäten gebaut werden. Wir lehnen gesetzlich vorgegebene Ausbaupfade für einzelne Technologien und staatlich garantierte Abnahmepreise ab.",-1,institutional_responsiveness,Institutional responsiveness,indirect,1,-1
5,AfD,Alternative für Deutschland,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,"Volatilen Energien destabilisieren das Stromnetz, gefährden die Versorgungssicherheit, erzeugen hohe Netzkosten und beschränken unsere Wettbewerbsfähigkeit massiv. Sie zerstören die Natur, u. A. durch Flächenbedarf. Die AfD wird den Dreiklang der Energieversorgung aus Versorgungssicherheit, Wirtschaftlichkeit und Umweltschutz wieder herstellen. Zukünftig müssen Anlagen zur Erzeugung „Erneuerbarer Energien“ Umweltverträglichkeit und ökonomischen Nutzen nachweisen. Das EEG wird gestrichen.",-1,institutional_responsiveness,Institutional responsiveness,indirect,1,-1
6,Die Linke,Die Linke,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,"Der größte Teil unserer zukünftigen Energieversorgung muss erst noch gebaut werden. Die öffentliche Hand soll sich stark am Aufbau der erneuerbaren Energien beteiligen, auch um so große Teile der Energieproduktion in öffentliche Hand zurückzuholen. Das wollen wir nutzen, um Windrad- und Solarfabriken (wieder) in Deutschland anzusiedeln.",1,institutional_responsiveness,Institutional responsiveness,indirect,1,1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,"Der Ausbau der erneuerbaren Energien ist sinnvoll, die EEG-Umlage lehnen wir allerdings ab, denn sie verteuert den Strom für die Endkunden.",-1,institutional_responsiveness,Institutional responsiveness,indirect,1,-1
1,SPD,Sozialdemokratische Partei Deutschlands,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"Die allermeisten Menschen im Bürgergeldbezug, die arbeiten können, wollen auch arbeiten. Wir beteiligen uns nicht an Versuchen, Geringverdiener gegen die auszuspielen, die noch weniger haben. Das Bürgergeld ist eine steuerfinanzierte Grundsicherung. Deswegen wird von arbeitsfähigen Personen zu Recht Mitwirkung eingefordert, natürlich in den Grenzen, die das Bundesverfassungsgericht gesetzt hat.",1,economic_security,Economic security,direct,-1,-1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"Wer arbeiten kann, soll auch arbeiten. Wenn jemand grundsätzlich nicht bereit ist, Arbeit anzunehmen, muss der Staat davon ausgehen, dass er nicht bedürftig ist. Dann muss die Grundsicherung komplett gestrichen werden.",1,economic_security,Economic security,direct,-1,-1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,"Mit dem Bürgergeld haben wir Instrumente geschaffen, mit denen für viele Menschen Chancen auf dem Arbeitsmarkt entstehen. Dazu gehören Qualifizierung und Coaching oder geförderte Beschäftigung durch den sozialen Arbeitsmarkt. Die Allermeisten nehmen diese Angebote an. Nur ein Bruchteil verweigert sich. Wir fordern aktive Mitwirkung ein. Unser Ziel ist, so viele Menschen wie möglich in zumutbare Arbeit zu führen. Grundsätzlich gilt: Ein menschenwürdiges Existenzminimum muss gewährleistet sein.",-1,economic_security,Economic security,direct,-1,1
4,FDP,Freie Demokratische Partei,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"Unser oberstes Ziel lautet: Arbeit statt Bürgergeld. Denn Arbeit ist das Fundament für Glück und Erfolg. Gesellschaftlich ist das auch eine Frage der Fairness gegenüber dem arbeitenden Steuerzahler. Erwerbsfähige Arbeitslose müssen sich darum bemühen, die eigene Hilfsbedürftigkeit durch Arbeit und Qualifizierung zu überwinden. Bei fehlender Initiative sollen die Sozialleistungen Stück für Stück reduziert werden. Dazu wollen wir die Sanktionen wirksamer gestalten.",1,economic_security,Economic security,direct,-1,-1
5,AfD,Alternative für Deutschland,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"Bürgergeld ist eine Sozialleistung für Arbeitssuchende. Wenn ein Arbeitssuchender wiederholt Stellenangebote ablehnt, obwohl sie zumutbar sind, kann der Solidargemeinschaft seine finanzielle Unterstützung nicht länger zugemutet werden.",1,economic_security,Economic security,direct,-1,-1
6,Die Linke,Die Linke,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,"Das Verfassungsgericht hat bereits entschieden, dass das Bürgergeld nicht auf Null gekürzt werden darf. Wer das fordert, stellt sich außerhalb der Verfassung. Die Linke will, dass Erwerbslose in gute Arbeit vermittelt werden.",-1,economic_security,Economic security,direct,-1,1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,3,Streichung des Bürgergelds,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"Dies darf aber nur beim Angebot von zumutbaren Tätigkeiten gelten, die der beruflichen Qualifikation entsprechen.",1,economic_security,Economic security,direct,-1,-1
1,SPD,Sozialdemokratische Partei Deutschlands,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"Wir wollen ein Tempolimit von 130 Stundenkilometern auf Bundesautobahnen einführen. Dadurch wird es deutlich sicherer und entspannter auf der Autobahn: Stress, Unfälle, Staus und Lärm werden weniger. Es gibt weniger Verkehrstote und Schwerverletzte. Und das Tempolimit leistet auch einen schnellen und wirksamen Beitrag zum Klimaschutz. In allen unseren Nachbarländern fährt es sich gut mit einem Tempolimit.",1,not_directly_related,Not directly related,low,0,0
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"Wir sehen in der individuellen Mobilität den Inbegriff von Freiheit und spielen deshalb unterschiedliche Verkehrsmittel nicht gegeneinander aus. Anti-Auto-Haltung, Fahrverbote für Innenstädte, das Umwidmen von Parkplätzen und ein generelles Tempolimit auf deutschen Autobahnen lehnen wir ab und setzen stattdessen auf innovative, moderne Verkehrssteuerung. An Gefahrenstellen bestehen schon heute Tempolimits, um die Verkehrssicherheit zu erhöhen.",-1,not_directly_related,Not directly related,low,0,0
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"Als einziges Land weltweit erlaubt Deutschland das unbegrenzte Rasen auf Autobahnen, zum Schaden von Menschenleben und Umwelt. Ein Tempolimit ist gut für die Verkehrssicherheit und den Klimaschutz. Es sorgt zudem dafür, dass der Verkehr flüssiger läuft.",1,not_directly_related,Not directly related,low,0,0
4,FDP,Freie Demokratische Partei,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"Wir Freie Demokraten lehnen ein generelles Tempolimit auf Autobahnen ab. Auch ohne Tempolimit sind die deutschen Autobahnen mit die sichersten in Europa. Wir vertrauen auf die Eigenverantwortung mündiger Bürger. Ein faires Miteinander aller Verkehrsteilnehmer erreichen wir nicht durch Verbote, sondern durch ausgewogene Regeln und gegenseitigen Respekt. Ein Tempolimit würde keine entscheidende Reduzierung des CO2-Ausstoßes bewirken, es ist Symbolpolitik gegen die freie Entscheidung und das Auto.",-1,not_directly_related,Not directly related,low,0,0
5,AfD,Alternative für Deutschland,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,Es gibt bereits viel zu viele politisch motivierte Einflüsse auf das Verkehrsgeschehen. Bürger sind mündig und in der Lage nach Maßgabe der StVo zu handeln und ihre Geschwindigkeit anzupassen wo dies erforderlich ist.,-1,not_directly_related,Not directly related,low,0,0
6,Die Linke,Die Linke,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"Die Linke unterstützt die Einführung eines generellen Tempolimits auf Autobahnen. Wer schon mal im Ausland Auto gefahren ist, weiß: Das ist für alle entspannter. Mit dem Tempolimit können erhebliche Mengen an CO2 eingespart. Und es gibt viel weniger Tote und Verletzte bei Autounfällen.",1,not_directly_related,Not directly related,low,0,0
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,4,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,,-1,not_directly_related,Not directly related,low,0,0
1,SPD,Sozialdemokratische Partei Deutschlands,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,"Wir halten uns an europäisches Recht! Nur so werden wir der großen Herausforderung der Bewältigung unserer humanitären Verantwortung gerecht. Dafür war es ein großer Erfolg, dass nach vielen Jahren der Blockade endlich alle Mitgliedstaaten wieder an einem Strang ziehen. Die SPD wird keine europarechtswidrigen Alleingänge unternehmen, wie es unsere politische Konkurrenz fordert. Auch, weil ansonsten ungewollten Kettenreaktionen durch andere Mitgliedstaaten die Lage wieder verschlechtern würden.",-1,social_trust,Social trust and cohesion,direct,-1,1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,"Die Grenzkontrollen an den deutschen Grenzen werden wir mit Zurückweisungen verbinden. Wir setzen einen faktischen Aufnahmestopp sofort durch. Dazu weisen wir diejenigen an den deutschen Grenzen zurück, die aus einem anderen Mitgliedstaat der EU oder dem Schengen-Raum nach Deutschland einreisen und bei uns einen Asylantrag stellen wollen. Wer aus einem anderen EU-Staat kommt, hat dort bereits die Gelegenheit Asyl zu beantragen.",1,social_trust,Social trust and cohesion,direct,-1,-1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,"Wir setzen auf europäische Kooperation und eine faire Verteilung von Schutzsuchenden in Europa. Dafür ist eine zuverlässige Registrierung von Asylsuchenden bei der Einreise notwendig. Pauschale Zurückweisungen an den Binnengrenzen sind falsch, europarechtlich nicht zulässig und würden den europäischen Zusammenhalt gefährden.",-1,social_trust,Social trust and cohesion,direct,-1,1
4,FDP,Freie Demokratische Partei,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,"Menschen, die von vornherein keine Möglichkeit haben, ein Bleiberecht in Deutschland zu erlangen, sollten besser gar nicht erst einreisen. Aus diesem Grund unterstützen wir Freie Demokraten die modellhafte Erprobung von Zurückweisungen an den deutschen Außengrenzen, um alle rechtlichen Möglichkeiten zur Begrenzung der irregulären Migration auszuschöpfen.",1,social_trust,Social trust and cohesion,direct,-1,-1
5,AfD,Alternative für Deutschland,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,"Deutsches Recht schließt die Einreise aus einem sicheren Drittstaat zum Zweck der Asylgewährung aus. Entgegen dieser Rechtslage werden solche Einreisen seit Jahren geduldet. In der Realität bleibt fast jeder auch illegal eingereiste Asylbewerber dauerhaft hier. Dieser Zustand ist untragbar. Der Verweis auf eine angeblich notwendige Zuständigkeitsüberprüfung für das Asylverfahren greift hierbei ausdrücklich nicht, da diese auch im bereits sicheren, zuvor durchquerten EU-Nachbarstaat möglich wäre.",1,social_trust,Social trust and cohesion,direct,-1,-1
6,Die Linke,Die Linke,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,"Wir halten es nicht für rechtens, Geflüchtete an den Grenzen abzuweisen. Die Verteilung innerhalb der EU muss in geordneten Verfahren erfolgen. Aufnahmebereite Länder, Städte und Regionen sollen mit EU-Mitteln finanziell und strukturell besonders unterstützt werden.",-1,social_trust,Social trust and cohesion,direct,-1,1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,5,Abweisung Asylsuchender,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,,1,social_trust,Social trust and cohesion,direct,-1,-1
1,SPD,Sozialdemokratische Partei Deutschlands,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,"Wir wollen langfristig für stabile und bezahlbare Mieten in angespannten Wohnungsmärkten sorgen. Die Mietpreisbremse läuft ohne gesetzliche Änderung zum 31.12.25 aus. Wir wollen das Gesetz ändern und sie unbefristet einführen. Wir werden dafür sorgen, dass die Mietpreisbremse nicht durch z.B. (teil-)möblierte und befristete Wohnungsangebote umgangen werden kann. Den Mietspiegel-Betrachtungszeitraum wollen wir auf zehn Jahre ausweiten und preisgebundenen Wohnraum in die Betrachtung einbeziehen.",1,economic_security,Economic security,direct,1,1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,"Wir stehen für einen wirksamen und angemessenen Mieterschutz – dazu gehören auch Regeln zur Miethöhe. Gegen die hohen Mieten, die v. a. in Ballungsräumen ein Problem sind, hilft aber letztlich nur: bauen, bauen, bauen. Dafür setzen wir gute Rahmenbedingungen.",1,economic_security,Economic security,direct,1,1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,"Ja, denn etwa die Hälfte der Menschen in unserem Land lebt zur Miete und muss dafür immer mehr Geld ausgeben. Die Mietpreisbremse nur zu verlängern reicht nicht mehr aus. Wir wollen die Anstiege der Mieten über die ortsübliche Vergleichsmiete hinaus stärker begrenzen und gesetzliche Schlupflöcher schließen, etwa bei möblierten Wohnungen oder Ferienwohnungen. Wir wollen gute Rahmenbedingungen für schnelles, preiswertes und klimaverträgliches Bauen schaffen.",1,economic_security,Economic security,direct,1,1
4,FDP,Freie Demokratische Partei,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme nicht zu,"Mehr bezahlbaren Wohnraum gibt es nur durch mehr Neubau. Um gutes Wohnen für alle zu ermöglichen, sind ausgewogene Regeln zwischen Mietern und Vermietern wichtig. Viele private Vermieter ziehen sich aus dem Markt zurück, weil Vermieten durch komplizierte Regelungen unattraktiv geworden ist. Das verschärft den Wohnungsmangel. Die Mietpreisbremse ist eher eine Investitionsbremse. Einen bundesweiten Mietendeckel lehnen wir ab. Menschen mit niedrigem Einkommen unterstützen wir durch das Wohngeld.",-1,economic_security,Economic security,direct,1,-1
5,AfD,Alternative für Deutschland,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme nicht zu,"Mieten steigen, weil staatlich Institutionen mit Bauvorschriften und Baubehinderung das Angebot verknappen. Wir brauchen einen massiven Rückbau der Bürokratie und Abschiebungen unberechtigter Personen, dies wird zur Regulierung der Mieten durch Angebot und Nachfrage führen.",-1,economic_security,Economic security,direct,1,-1
6,Die Linke,Die Linke,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,"Die bisherige Begrenzung der Miete durch die Mietpreisbremse ist wirkungslos, das sehen wir an den explodierenden Mieten. Die Linke fordert einen bundesweiten Mietendeckel. Unser Ziel: Die Explosion der Mieten nicht nur bremsen, sondern beenden und rückgängig machen. In angespannten Wohnungsmärkten müssen besonders hohe Mieten abgesenkt werden. Als Sofortmaßnahme müssen Mieterhöhungen für die nächsten sechs Jahre ausgeschlossen werden.",1,economic_security,Economic security,direct,1,1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,6,Begrenzung der Mietpreise,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,,1,economic_security,Economic security,direct,1,1
1,SPD,Sozialdemokratische Partei Deutschlands,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,Wir sprechen uns gegen eine anlasslose Überwachung der Bürgerinnen und Bürger im öffentlichen Raum aus.,-1,democratic_institutions,Democratic institutions and rule of law,direct,-1,1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme zu,"Wir fordern den Ausbau des Videoschutzes an öffentlichen Gefahrenorten und Systeme zur automatisierten Gesichtserkennung an Bahnhöfen, Flughäfen und anderen Kriminalitätsschwerpunkten zur Identifizierung schwerer Straftäter.",1,democratic_institutions,Democratic institutions and rule of law,direct,-1,-1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,"Wir wollen, dass sich Menschen im Alltag bewegen können, ohne Sorge vor Überwachung zu haben. Eine automatisierte Gesichtserkennung von Fahrgästen wäre ein folgenreicher und unverhältnismäßiger Einschnitt in diese Freiheit. Kameraüberwachungen an Bahnhöfen und anderen gefährdeten öffentlichen Orten sowie eine regelmäßige Bestreifung durch die Polizei können hingegen mehr Sicherheit gewährleisten.",-1,democratic_institutions,Democratic institutions and rule of law,direct,-1,1
4,FDP,Freie Demokratische Partei,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,"Die Bürgerinnen und Bürger haben das Recht, sich ohne ständige Kontrolle im öffentlichen Raum zu bewegen. Videoüberwachung kann an einzelnen Kriminalitätsschwerpunkten wie Bahnhöfen Sinn ergeben, ersetzt jedoch niemals die Präsenz von Polizistinnen und Polizisten sowie funktionierende Präventionskonzepte. Eine flächendeckende Überwachung im öffentlichen Raum darf es daher nicht geben. Den Einsatz von automatisierter Gesichtserkennung im öffentlichen Raum lehnen wir ab.",-1,democratic_institutions,Democratic institutions and rule of law,direct,-1,1
5,AfD,Alternative für Deutschland,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme zu,Bahnhöfe gehören heutzutage leider zu den Hochrisikozonen. Dem wachsenden Anstieg der Kriminalität dort kann die Polizei nur begrenzt mit einem personellen Aufwuchs begegnen. Der Einsatz moderner Technik wie die automatisierte Gesichtserkennung kann die personelle Problematik zum Teil kompensieren. Datenschutzrechtliche Bedenken können durch entsprechende gesetzliche Regelungen ausgeräumt werden.,1,democratic_institutions,Democratic institutions and rule of law,direct,-1,-1
6,Die Linke,Die Linke,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,"Flächendeckende Überwachung gehört in autoritäre Staaten, nicht in eine Demokratie. Wir verteidigen das Recht auf informationelle Selbstbestimmung. Automatisierte Gesichtserkennung und Verhaltensklassifikation führen oft zu Diskriminierung.",-1,democratic_institutions,Democratic institutions and rule of law,direct,-1,1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,7,Automatisierte Gesichtserkennung,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,neutral,,0,democratic_institutions,Democratic institutions and rule of law,direct,-1,0
1,SPD,Sozialdemokratische Partei Deutschlands,8,Energieintensive Unternehmen,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,"Wir wollen schnell handeln, um Arbeitsplätze zu sichern und die Wirtschaft zu stärken. Dafür braucht es wettbewerbsfähige Strompreise für die Industrie und bezahlbare Preise für Privathaushalte. Die Stromkosten haben verschiedene Bestandteile, die wir mit unserem Vorschlag gezielt angehen: Die Kosten für den Ausbau der Stromnetze, die die Verbraucher*innen zu tragen haben, wollen wir deckeln. Die Stromsteuersenkung für das produzierende Gewerbe und die Landwirtschaft soll dauerhaft gelten.",1,economic_security,Economic security,direct,1,1
